cnty,abbr,year,rank,part,ppct,gply,wins,draw,lost,gold,slvr,brnz
Trinidad and Tobago,TRI,2006,47,0,0,0,0,0,0,0,0,0
Saudi Arabia,KSA,2006,34,3,0.17647058823529413,10,2,1,7,0,0,0
Japan,JPN,2006,18,2,0.11764705882352941,7,2,1,4,0,0,0
Togo,TOG,2006,61,0,0,0,0,0,0,0,0,0
Costa Rica,CRC,2006,26,2,0.11764705882352941,7,3,1,3,0,0,0
Serbia,SRB,2006,44,9,0.5294117647058824,37,16,8,13,0,0,0
Spain,ESP,2010,2,12,0.6666666666666666,49,22,12,15,0,0,0
Holland,NED,2010,4,8,0.4444444444444444,36,16,10,10,0,2,0
Germany,GER,2010,6,16,0.8888888888888888,92,55,19,18,3,4,3
Uruguay,URU,2010,16,10,0.5555555555555556,40,15,10,15,2,0,0
Argentina,ARG,2010,7,14,0.7777777777777778,65,33,13,19,2,2,0
Brazil,BRA,2010,1,18,1,92,64,14,14,5,2,2
Ghana,GHA,2010,32,1,0.05555555555555555,4,2,0,2,0,0,0
Paraguay,PAR,2010,31,7,0.3888888888888889,22,6,7,9,0,0,0
Japan,JPN,2010,45,3,0.16666666666666666,10,2,2,6,0,0,0
Chile,CHI,2010,18,7,0.3888888888888889,25,7,6,12,0,0,1
Portugal,POR,2010,3,4,0.2222222222222222,19,11,1,7,0,0,1
USA,USA,2010,14,8,0.4444444444444444,25,6,3,16,0,0,1
England,ENG,2010,8,12,0.6666666666666666,55,25,17,13,1,0,0
Mexico,MEX,2010,17,13,0.7222222222222222,45,11,12,22,0,0,0
South Korea,KOR,2010,47,7,0.3888888888888889,24,4,7,13,0,0,0
Slovakia,SVK,2010,34,0,0,0,0,0,0,0,0,0
Ivory Coast,CIV,2010,27,1,0.05555555555555555,3,1,0,2,0,0,0
Slovenia,SVN,2010,25,1,0.05555555555555555,3,0,0,3,0,0,0
Switzerland,SUI,2010,24,8,0.4444444444444444,26,8,5,13,0,0,0
South Africa,RSA,2010,83,2,0.1111111111111111,6,1,3,2,0,0,0
Australia,AUS,2010,20,2,0.1111111111111111,7,1,2,4,0,0,0
New Zealand,NZL,2010,78,1,0.05555555555555555,3,0,0,3,0,0,0
Serbia,SRB,2010,15,10,0.5555555555555556,40,16,8,16,0,0,0
Denmark,DEN,2010,36,3,0.16666666666666666,13,7,2,4,0,0,0
Greece,GRE,2010,13,1,0.05555555555555555,3,0,0,3,0,0,0
Italy,ITA,2010,5,16,0.8888888888888888,77,44,19,14,4,2,1
Nigeria,NGA,2010,21,3,0.16666666666666666,11,4,1,6,0,0,0
Algeria,ALG,2010,30,2,0.1111111111111111,6,2,1,3,0,0,0
France,FRA,2010,9,12,0.6666666666666666,51,25,10,16,1,1,2
Honduras,HON,2010,38,1,0.05555555555555555,3,0,2,1,0,0,0
Cameroon,CMR,2010,19,5,0.2777777777777778,17,4,7,6,0,0,0
